Day of outbreak,MCMC,Nishiura
0,0.7184473233189353,0.7184473233189352
1,0.7223411326967942,0.7190770879564314
2,0.7311610031264666,0.7205764007985723
3,0.7448441626891406,0.7231176175609508
4,0.7618832332230704,0.7266914243790376
5,0.7806592692074018,0.7312379464010472
6,0.16622497760169222,0.529264247471776
7,0.19464309311298983,0.5342213610119072
8,0.22700593705450955,0.5403597404655405
9,0.26321120928234837,0.5477725203547931
10,0.02759118115062648,0.28720771982795995
11,0.03840543614965502,0.29278976781682
12,0.05313728866952354,0.29967520288570354
13,0.07181970299917526,0.308017101332343
14,0.09542773755285291,0.3178339986777771
15,0.1233815284114983,0.32910896175813836
16,0.06369034429572085,0.24557263649665514
17,0.0016771060568437687,0.06818390931160999
18,0.0010977555808243168,0.05139708505952573
19,0.0007249829084433473,0.0390837820081707
20,0.0015391253871590168,0.04180157228676674
21,0.0010866423308751006,0.032456148841177535
22,0.0007694010932061122,0.025467643004630502
23,0.001695173698111394,0.028112654425596358
24,0.00365388770278053,0.03134234853210212
25,0.006913723270825918,0.03525508093506025
26,0.005077156343534737,0.02870695271952241
27,0.003664032829261756,0.023540589809344727
28,0.00276033531455879,0.01943822353692631
29,0.00012400369358121609,0.005994643926928696
30,0.0003102654098266564,0.00700827133791571
31,0.00029042315457136975,0.005947176627518821
32,0.0006791291403573301,0.007100600025418273
33,0.0014857085773769,0.008560096860715566
34,0.0033040491181604067,0.010404614328397316
35,0.006365132352885733,0.012728271684655837
36,0.011810175319122663,0.01564345938232755
37,0.009109983281952182,0.01385368543444871
38,0.007481925819805804,0.012295743988891225
39,0.005755031973516756,0.010934082962025448
40,0.0008310375201317461,0.0050289342089841
41,0.0007289247786594465,0.004498826666870879
42,0.00022376848712832756,0.0029054739207046046
43,7.619200084843689e-05,0.0018884434936778855
44,8.340378725279293e-06,0.0008886573559362341
45,1.0871479242587194e-06,0.00042237431186159465
46,4.5866391224178774e-06,0.0005481369583893022
47,6.650539144291948e-06,0.0005174492189714685
48,9.37735509918051e-09,6.799261536570724e-05
49,3.6130101756516837e-09,4.74460587986485e-05
50,1.3081491797987988e-08,4.693697710360727e-05
51,3.3380975852267096e-08,4.7332838648940184e-05
52,2.0092715934816152e-07,6.767146260427335e-05
53,2.0470620780750509e-07,5.0747807591891914e-05
54,1.4980952738945632e-07,3.8629784792389595e-05
55,3.576257172362015e-07,4.151534129624556e-05
56,1.8258335182800191e-06,6.292243630618993e-05
57,3.6340932802970996e-06,6.92716664168532e-05
58,9.590833037895507e-07,3.972304728119189e-05
59,4.45433768975942e-06,6.198318456995569e-05
60,7.478301223582663e-06,6.99973788320563e-05
61,1.395629263993489e-05,7.952961244078835e-05
62,9.091847020736666e-06,6.521172222570564e-05
63,1.594224408950293e-05,7.472374796172501e-05
64,2.2155748140825285e-05,8.58814293216576e-05
65,1.4788280290510709e-05,7.105779706678385e-05
66,1.001302214683521e-05,5.889461043135103e-05
67,1.6213337911387293e-05,6.806442857681055e-05
68,2.0799072216375517e-05,7.876136923302098e-05
69,7.638172824952187e-05,0.00012691610862739823
70,9.223926818434818e-05,0.0001467230807280672
71,0.00025730214510380153,0.0002354440793926929
72,0.00032405736890216754,0.00027014157572949105
73,6.230866236111584e-05,0.00015904452239363397
74,7.352585576360107e-05,0.00018050706905112094
75,0.00021395423149231772,0.0002838322205676109
76,0.0005715601717357213,0.0004438741986412444
77,0.00010058752487744696,0.00025570575321121107
