Day of outbreak,Acceptance rate
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,0.824875
11,0.8235
12,0.81775
13,0.821625
14,0.818625
15,0.8055
16,0.745625
17,0.631
18,0.601
19,0.592625
20,0.58425
21,0.567
22,0.545
23,0.541125
24,0.54575
25,0.53875
26,0.519625
27,0.511375
28,0.518375
29,0.47325
30,0.456125
31,0.46125
32,0.46775
33,0.454
34,0.45925
35,0.450625
36,0.455875
37,0.458125
38,0.43325
39,0.43
40,0.428125
41,0.426375
42,0.414875
43,0.39925
44,0.3935
45,0.373375
46,0.387875
47,0.39075
48,0.358625
49,0.35875
50,0.372375
51,0.354
52,0.363125
53,0.35275
54,0.3385
55,0.343875
56,0.348625
57,0.34075
58,0.344125
59,0.339375
60,0.34625
61,0.34
62,0.335875
63,0.344375
64,0.34075
65,0.35
66,0.33125
67,0.342375
68,0.330125
69,0.329875
70,0.327875
71,0.338875
72,0.34125
73,0.3315
74,0.342625
75,0.3405
76,0.325625
77,0.32975
78,0.33275
79,0.329
80,0.3365
81,0.3365
82,0.330125
83,0.3305
84,0.334125
85,0.32225
86,0.32175
87,0.322
88,0.333875
89,0.316
90,0.31925
91,0.316875
92,0.32425
93,0.3165
94,0.319125
95,0.328875
96,0.32875
97,0.317375
98,0.318125
99,0.321625
100,0.330125
101,0.324625
102,0.3245
103,0.3275
104,0.317625
105,0.314375
106,0.32425
107,0.324375
108,0.33025
109,0.316875
110,0.30725
111,0.314875
112,0.317375
113,0.32125
114,0.32625
115,0.319
116,0.314625
117,0.319625
118,0.329625
119,0.332375
120,0.315
121,0.32675
122,0.326125
123,0.323375
124,0.314375
125,0.321
126,0.3285
127,0.314375
128,0.3195
129,0.32875
130,0.323625
131,0.33
132,0.3325
133,0.32925
134,0.332
135,0.3105
136,0.320125
137,0.329125
138,0.317125
139,0.31975
140,0.3195
141,0.329375
142,0.31625
143,0.330875
144,0.316125
145,0.331375
146,0.321125
147,0.324875
148,0.3285
149,0.329125
150,0.32525
151,0.3255
152,0.32075
153,0.31375
154,0.327125
155,0.323375
156,0.32175
157,0.32675
158,0.32525
159,0.32275
160,0.320875
161,0.33275
162,0.32225
163,0.316125
164,0.321625
165,0.3115
166,0.32075
167,0.318
168,0.325
169,0.323625
170,0.333625
171,0.322375
172,0.311625
173,0.32025
174,0.323125
175,0.324
176,0.324875
177,0.32375
178,0.320875
179,0.315125
180,0.32375
181,0.318125
182,0.3165
183,0.32075
184,0.323375
185,0.3175
186,0.31925
187,0.32025
188,0.32675
189,0.324
190,0.31425
191,0.31975
192,0.321
193,0.315125
194,0.325
195,0.325
196,0.31475
197,0.319625
198,0.316625
199,0.309625
200,0.309875
