Day of outbreak,Acceptance rate
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,0.92625
29,0.914625
30,0.88425
31,0.877875
32,0.875875
33,0.870625
34,0.808125
35,0.74975
36,0.70725
37,0.698375
38,0.70725
39,0.69975
40,0.69625
41,0.685125
42,0.692125
43,0.6765
44,0.677
45,0.654375
46,0.648
47,0.65225
48,0.6425
49,0.647
50,0.642875
51,0.63725
52,0.6275
53,0.639125
54,0.6395
55,0.632125
56,0.622
57,0.636125
58,0.626375
59,0.636375
60,0.630125
61,0.631
62,0.633625
63,0.62325
64,0.63725
65,0.62225
66,0.632
67,0.625875
68,0.621125
69,0.641625
70,0.63425
71,0.62625
72,0.631
73,0.633125
74,0.638875
75,0.630875
76,0.6295
77,0.629875
78,0.630375
79,0.625875
80,0.629
81,0.6355
82,0.629
83,0.624875
84,0.6395
85,0.628375
86,0.630375
87,0.620625
88,0.6395
89,0.636125
90,0.621
91,0.63325
92,0.628375
93,0.622875
94,0.62575
95,0.627625
96,0.636
97,0.632125
98,0.640125
99,0.630125
100,0.631625
101,0.631625
102,0.630125
103,0.615875
104,0.62175
105,0.625625
106,0.624
107,0.620875
108,0.634125
109,0.635125
110,0.63525
111,0.64275
112,0.627875
113,0.630625
114,0.627875
115,0.62625
116,0.63625
117,0.629625
118,0.62825
119,0.635375
