Day of outbreak,Acceptance rate
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,0.910375
30,0.907125
31,0.898125
32,0.8905
33,0.88875
34,0.877625
35,0.875
36,0.877875
37,0.869
38,0.869125
39,0.859875
40,0.86225
41,0.864875
42,0.859375
43,0.851
44,0.85025
45,0.8515
46,0.851875
47,0.850875
48,0.8465
49,0.85075
50,0.84675
51,0.845625
52,0.851375
53,0.8485
54,0.84775
55,0.844
56,0.840375
57,0.847875
58,0.8425
59,0.852375
60,0.84325
61,0.841375
62,0.848
63,0.839125
64,0.840125
65,0.846875
66,0.84375
67,0.85325
68,0.841375
69,0.837875
70,0.842375
71,0.84625
72,0.843125
73,0.8415
74,0.83775
75,0.8355
76,0.84025
77,0.841625
78,0.845875
79,0.838875
80,0.845125
81,0.850125
82,0.8405
83,0.847125
84,0.842875
85,0.841625
86,0.844125
87,0.844375
88,0.84525
89,0.84475
90,0.8505
91,0.8365
92,0.848375
93,0.8485
94,0.83675
95,0.851875
96,0.839375
97,0.844375
98,0.844
99,0.8415
100,0.84425
101,0.854
102,0.84025
103,0.848875
