Day of outbreak,MCMC,Traced,Nishiura,Enumerate,Simulation
0,0.7184473233189353,0.7184473233189352,0.7184473233189352,0.7184473233189352,0.7219
1,0.8682789064666371,0.8682789064666373,0.7654909698499718,0.8682789064666373,0.8689
2,0.9411976899859785,0.9411976899859787,0.8311189445211538,0.9411976899859787,0.9426
3,0.3814811898401169,0.38148118984011703,0.4637418640212799,0.38148118984011703,0.3802
4,0.3196244807026877,0.21917485761811373,0.3995832772926558,0.31980564398511363,0.3204
5,0.6289300631756706,0.5246126027157347,0.5171820503474265,0.6278533929105058,0.6253
6,0.8280186203391418,0.7662333990588378,0.6651306266164049,0.8279478613261955,0.8264
7,0.928621676376789,0.8994233475455302,0.8068326693585725,0.9281352748562846,0.9298
8,0.9718099574992238,0.9600675862685915,0.9069885868638601,0.9718152191568892,0.9739
9,0.9894185813539388,0.984946989533153,0.9610614323415662,0.9894216394417932,0.9899
10,0.9964941259613873,0.9947790662141749,0.985226376946126,0.9964808779269192,0.9964
11,0.9987606272584915,0.9981477470703782,0.9946349745839003,0.9987485928444787,0.9987
12,0.9995644876657407,0.9993567859588864,0.9981144221996547,0.9995644416165289,0.9996
13,0.9999384442339988,0.9999384442339986,0.9996141093320371,0.9999384442339986,1.0
