Day of outbreak,Acceptance rate
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.8975
21,0.87725
22,0.87025
23,0.857
24,0.801375
25,0.79525
26,0.7885
27,0.743
28,0.744625
29,0.73725
30,0.6295
31,0.59675
32,0.615375
33,0.590625
34,0.58825
35,0.584
36,0.5785
37,0.57675
38,0.59025
39,0.571875
40,0.576125
41,0.560125
42,0.5775
43,0.546375
44,0.525375
45,0.528375
46,0.5265
47,0.53225
48,0.509625
49,0.502
50,0.503125
51,0.492
52,0.493875
53,0.482125
54,0.488375
55,0.479
56,0.48025
57,0.450625
58,0.44925
59,0.439
60,0.449375
61,0.44325
62,0.43825
63,0.439625
64,0.440125
65,0.4375
66,0.417125
67,0.430375
68,0.427625
69,0.425
70,0.418375
71,0.41825
72,0.42
73,0.4225
74,0.418375
75,0.423
76,0.424625
77,0.43225
78,0.411
79,0.4285
80,0.41
81,0.418
82,0.428125
83,0.426125
84,0.416875
85,0.427375
86,0.42
87,0.430375
88,0.414
89,0.42475
90,0.41675
91,0.41325
92,0.4065
93,0.393875
94,0.408
95,0.408125
96,0.39575
97,0.405625
98,0.400125
99,0.407125
100,0.404375
101,0.3925
102,0.394875
103,0.3975
104,0.400875
105,0.39575
106,0.394125
107,0.3995
108,0.399
109,0.393125
110,0.401125
111,0.381
112,0.395
113,0.39375
114,0.387625
115,0.387875
116,0.395
117,0.386
118,0.387875
119,0.3825
120,0.392125
121,0.393875
122,0.386875
123,0.385375
124,0.397125
125,0.388125
126,0.38025
127,0.401
128,0.390125
129,0.3775
130,0.38625
131,0.378
132,0.379875
133,0.387875
134,0.390375
135,0.399
136,0.39375
137,0.38575
138,0.4
139,0.389
140,0.391375
141,0.384125
142,0.390875
143,0.381875
144,0.39075
145,0.388875
146,0.395
147,0.390125
148,0.3865
149,0.389375
150,0.392125
151,0.395625
152,0.383
153,0.399875
154,0.3805
155,0.392125
156,0.388625
157,0.38725
158,0.39375
159,0.387875
160,0.367125
161,0.385125
162,0.381375
163,0.38825
164,0.382875
165,0.395375
166,0.39425
167,0.38875
168,0.388
169,0.375375
170,0.3945
171,0.39225
172,0.386125
173,0.384875
174,0.38725
175,0.396375
176,0.381375
177,0.39125
178,0.38725
179,0.38325
180,0.390375
181,0.38175
182,0.387375
183,0.386
184,0.385
185,0.382875
186,0.3865
187,0.385375
188,0.383125
189,0.382625
190,0.392875
191,0.389
192,0.388625
193,0.386
194,0.37675
195,0.385875
196,0.387375
197,0.389
198,0.392375
199,0.389375
200,0.372625
201,0.381375
202,0.387625
203,0.37975
204,0.3985
205,0.389875
206,0.391375
207,0.387875
208,0.390625
209,0.386375
210,0.3965
211,0.386
212,0.3855
213,0.401125
214,0.385875
215,0.38375
216,0.390375
217,0.392375
218,0.384
219,0.3825
220,0.391625
221,0.3955
222,0.386125
223,0.38875
224,0.387375
225,0.38075
226,0.38175
227,0.392125
228,0.388
